URL,Length-of-url,Numeric Token,Special_chars,Number of Special Characters,Number of Dot Occurences,Dash Count,LetterDigitLetter,Tokens,Alphabet Entropy,Max Token Length,Average Token Length,URL Token Count,Ads_Class
"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/r_Y4p-nyx0N.js
",60,1,"[':', '.', '.', '.', '.', '.']",6,5,1,1,"['', ""nyx0N.js\\n'"", 'v3', ""js\\n'"", 'xx', 'static', 'net', ""b'https:"", 'nyx0N', 'r', 'fbcdn', 'static.xx.fbcdn.net', 'rsrc', 'r_Y4p', 'php', 'rsrc.php', 'yJ']",4.08746284125034,19,5.235294117647059,17,non-ad
"/yts/jsbin/scheduler-vflujgsj7/scheduler.js
",44,1,['.'],1,1,1,0,"['yts', ""js\\n'"", 'jsbin', 'vflujgsj7', ""scheduler.js\\n'"", ""b'"", 'scheduler']",2.8073549220576046,15,6.857142857142857,7,non-ad
"/yts/jsbin/spf-vflqCgDoF/spf.js
",32,0,['.'],1,1,1,0,"['yts', ""js\\n'"", 'jsbin', ""b'"", ""spf.js\\n'"", 'vflqCgDoF', 'spf']",2.8073549220576046,9,5.142857142857143,7,non-ad
"/yts/jsbin/www-en_US-vflIwb0R-/base.js
",39,1,['.'],1,1,3,0,"['', 'vflIwb0R', 'yts', ""js\\n'"", 'jsbin', 'www', ""b'"", 'en_US', 'base', ""base.js\\n'""]",3.321928094887362,10,4.5,10,non-ad
"https://s.yimg.com/aaq/cmp/version/2.17.0/cmp.js
",49,1,"[':', '.', '.', '.', '.', '.']",6,5,0,0,"['', '2', 'aaq', 'cmp', ""js\\n'"", '17', '2.17.0', ""b'https:"", 's', ""cmp.js\\n'"", 'version', 's.yimg.com', 'yimg', '0']",3.8073549220576055,10,4.285714285714286,14,non-ad
"https://s.yimg.com/rq/darla/3-6-3/js/g-r-min.js
",48,1,"[':', '.', '.', '.']",4,3,4,0,"['', ""js\\n'"", 'rq', '6', 'g', ""b'https:"", 'min', 's', 'js', 'r', 's.yimg.com', '3', 'yimg', ""min.js\\n'"", 'darla']",3.906890595608518,10,3.533333333333333,15,non-ad
"https://s.yimg.com/zz/combo?yui:/3.18.0/yui/yui-min.js
",55,1,"[':', '.', '.', '?', ':', '.', '.', '.']",8,5,1,0,"['', 'yui', ""js\\n'"", 'combo?yui:', '18', 'zz', '0', ""b'https:"", 'min', 's', 's.yimg.com', '3', 'yimg', ""min.js\\n'"", '3.18.0']",3.906890595608518,10,4.333333333333333,15,non-ad
"https://s.yimg.com/ss/rapid-3.53.2.js
",38,1,"[':', '.', '.', '.', '.', '.']",6,5,1,1,"['', '2', ""3.53.2.js\\n'"", ""js\\n'"", ""b'https:"", 'ss', 's', 's.yimg.com', '3', 'yimg', 'rapid', '53']",3.584962500721156,12,4.25,12,non-ad
"https://s.yimg.com/os/mit/td/aperollup-min-c9473dd9_desktop_advance.js
",71,1,"[':', '.', '.', '.']",4,3,2,1,"['', 'mit', 'os', ""js\\n'"", 'aperollup', ""b'https:"", 'min', 's', 'c9473dd9_desktop_advance', 's.yimg.com', 'td', 'yimg', ""c9473dd9_desktop_advance.js\\n'""]",3.7004397181410926,30,7.769230769230769,13,non-ad
"https://s.yimg.com/os/mit/td/td-applet-specialevent-0.0.52/r-min.js
",68,1,"[':', '.', '.', '.', '.', '.']",6,5,4,0,"['', 'applet', 'mit', 'os', ""js\\n'"", '0.0.52', '52', 'specialevent', ""b'https:"", 'min', 's', 'r', 's.yimg.com', 'td', 'yimg', ""min.js\\n'"", '0']",4.08746284125034,12,4.411764705882353,17,non-ad
"https://s.yimg.com/os/mit/td/td-applet-stream-atomic-2.0.1706/r-min.js
",71,1,"[':', '.', '.', '.', '.', '.']",6,5,5,0,"['', 'applet', 'mit', 'stream', '2', 'os', ""js\\n'"", '1706', ""b'https:"", 'min', 's', 'atomic', '2.0.1706', 'r', 's.yimg.com', 'td', 'yimg', ""min.js\\n'"", '0']",4.247927513443588,10,4.2105263157894735,19,non-ad
